name,type,up,down,leg,sock,foot,under,description,color,pattern
牛仔裤,down,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,非常紧身的牛仔长裤，不仅防晒，还能防止蚊虫叮咬。,blue,
热裤,down,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,能够露出女孩子最白白净净的大腿，十分清凉。,blue,
JK格裙,down,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,穿上它，${char.name}就是最为精致的JK，成为男同学们眼中的焦点。,"${color.color2([""red"",""purple"",""green"",""yellow""],[""grey"",""blue"",""black"",""dark""],""${color1}与${color2}相间"")}",
百褶裙,down,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,纯色的百褶裙，清凉的同时，不失优雅。,"${color.color([""blue"",""black"",""dark""])}",
运动裤,down,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,特别适合外出旅行，你说，不是吗？,"${color.color([""blue"",""black"",""dark""])}",
包臀裙,down,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,非常紧身，能够显露出女孩子下半身最重要的弧度。,"${color.color([""blue"",""black"",""dark""])}",
背带裤,down,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,是这个年龄段的小朋友喜欢穿的衣服了呢。,"${color.color([""blue"",""black"",""dark""])}",
紧身裤,down,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,紧身的裤子，更显身材，不过穿上它，小腹便会有强烈的压迫感。,"${color.color([""blue"",""black"",""dark""])}",
长裙,down,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,这个年纪的女孩子常见的一种穿着，特别适合夏季。,"${color.color([""white"",""pink"",""green""])}",
校服,up,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,即使是郊游，也得穿好学校的衣服呢。,学校,
连衣裙,up,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,全身上下无不透露出一股清凉感。,"${color.color([""white"",""pink"",""green""])}",
运动鞋,foot,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,非常适合外出的时候穿，不会磨脚。,"${color.color([""white"",""black""])}",
皮鞋,foot,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,是女孩子最喜欢的小皮鞋哦！,"${color.color([""white"",""black""])}",
帆布鞋,foot,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,非常适合外出的时候穿，不会磨脚。,"${color.color([""white"",""black"",""blue""])}",
短袜,sock,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,露出了${char.name}的光滑白净的脚踝。,"${color.color([""white"",""black""])}",
小腿袜,sock,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,十分具有少女气息,"${color.color([""white"",""black""])}",
连裤袜,sock,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,就像小公主一样,"${color.color([""white"",""black""])}",
T恤衫,up,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,是${char.name}最喜欢的衣服。,"${color.color([""white"",""black"",""pink"",""blue"",""yellow"",""red""])}",
吊带背心,up,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,夏日穿着它，非常清凉。,"${color.color([""white"",""black"",""pink"",""blue"",""yellow"",""red""])}",
背心,up,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,夏日穿着它，非常清凉。,"${color.color([""white"",""black"",""pink"",""blue"",""yellow"",""red""])}",
衬衫,up,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"再打上一个${color.color([""red"", ""green"",""blue""])}的领结，就非常完美了。","${color.color([""white""])}",
内裤,under,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,"${color.color([""light""])}",
